Wall time,Step,Value
1495646118.1595714,42,0.140625
1495646118.3874016,45,0.109375
1495646122.0278869,94,0.1015625
1495646127.3690567,167,0.1015625
1495646131.881524,229,0.0859375
1495646132.2286947,234,0.1015625
1495646133.7007961,255,0.0859375
1495646135.389066,273,0.109375
1495646137.8458703,308,0.1328125
1495646137.979956,310,0.09375
1495646138.5552208,318,0.125
1495646151.2070992,474,0.109375
1495646157.3503132,536,0.0703125
1495646161.5711446,579,0.0625
1495646162.2249134,586,0.1015625
1495646166.8051963,634,0.125
1495646168.0119495,647,0.0859375
1495646174.3014958,714,0.0703125
1495646175.2101462,722,0.0390625
1495646183.1682482,802,0.109375
1495646183.716602,808,0.09375
1495646186.5153644,836,0.1484375
1495646203.5840714,1014,0.0859375
1495646207.9022841,1066,0.09375
1495646210.603221,1104,0.1328125
1495646216.7802541,1180,0.125
1495646223.7034538,1261,0.078125
1495646227.796387,1316,0.1015625
1495646228.0070946,1319,0.1015625
1495646228.9639351,1333,0.1015625
1495646229.2349045,1337,0.1328125
1495646232.842765,1385,0.09375
1495646233.3165972,1392,0.09375
1495646236.5619266,1436,0.1171875
1495646244.7144814,1552,0.09375
1495646246.9189107,1584,0.140625
1495646254.701921,1691,0.125
1495646257.717967,1734,0.0859375
1495646257.9272375,1737,0.140625
1495646265.7039847,1844,0.1015625
1495646267.9909825,1877,0.125
1495646270.8812172,1917,0.1171875
1495646272.9989314,1947,0.1015625
1495646279.2441034,2036,0.0859375
1495646283.6994202,2096,0.1328125
1495646292.4027116,2199,0.125
1495646299.040266,2262,0.0625
1495646303.7900403,2307,0.0859375
1495646315.1647346,2389,0.171875
1495646318.743198,2436,0.078125
1495646319.9364274,2453,0.1171875
1495646320.0772,2455,0.125
1495646320.432816,2460,0.09375
1495646322.1843188,2485,0.0703125
1495646322.252783,2486,0.078125
1495646323.2691045,2498,0.125
1495646323.641577,2503,0.1015625
1495646325.7636547,2532,0.0546875
1495646336.8994877,2685,0.09375
1495646340.9517043,2740,0.125
1495646357.3461933,2967,0.109375
1495646362.4715006,3038,0.1015625
1495646362.6791763,3041,0.109375
1495646371.5174534,3161,0.0625
1495646376.5998137,3230,0.0859375
1495646377.822543,3246,0.1484375
1495646377.8944128,3247,0.09375
1495646385.0284288,3305,0.1171875
1495646401.310521,3480,0.2734375
1495646412.8550675,3618,0.3203125
1495646413.0179257,3620,0.2265625
1495646417.8204334,3670,0.125
1495646424.139689,3741,0.15625
1495646432.8170567,3814,0.2265625
1495646433.3184388,3821,0.2890625
1495646444.071609,3928,0.2421875
1495646446.6384542,3956,0.25
1495646452.8044965,4036,0.3046875
1495646457.481526,4098,0.265625
1495646464.6517954,4196,0.4375
1495646467.4093823,4232,0.3984375
1495646473.66713,4317,0.40625
1495646480.136246,4400,0.375
1495646486.7539604,4492,0.5078125
1495646487.9455428,4509,0.5234375
1495646499.0484145,4664,0.5703125
1495646499.3242931,4668,0.5546875
1495646499.9014246,4676,0.6015625
1495646508.02545,4788,0.6640625
1495646509.1125476,4802,0.640625
1495646511.796539,4840,0.6953125
1495646515.6685438,4894,0.6953125
1495646521.2555873,4971,0.703125
1495646531.0640721,5106,0.7578125
1495646533.0836406,5134,0.734375
1495646548.5983863,5345,0.828125
1495646549.5693812,5359,0.8359375
1495646554.0509417,5420,0.84375
1495646563.2477658,5549,0.8515625
1495646575.1571236,5679,0.921875
1495646579.1156352,5723,0.8515625
1495646585.7510383,5808,0.8515625
1495646590.5140502,5864,0.90625
1495646591.1212945,5871,0.921875
1495646594.007307,5907,0.8671875
1495646600.2495532,5990,0.9140625
1495646616.3230946,6200,0.875
1495646617.7397797,6219,0.9375
1495646623.1595328,6289,0.8984375
1495646629.7851021,6376,0.8671875
1495646640.9386668,6520,0.90625
1495646645.1487918,6574,0.90625
1495646647.3012526,6603,0.9453125
1495646654.7537732,6699,0.8984375
1495646655.7094293,6711,0.8984375
1495646666.6585414,6854,0.921875
1495646678.3877926,6966,0.9296875
1495646689.8959265,7114,0.9140625
1495646692.9577248,7155,0.890625
1495646705.2830608,7311,0.9375
1495646710.864107,7382,0.921875
1495646716.8289428,7460,0.96875
1495646717.0610263,7463,0.9453125
1495646718.3150833,7478,0.9375
1495646720.7917233,7511,0.9453125
1495646743.8699713,7788,0.9609375
1495646744.6357992,7798,0.9609375
1495646747.2948136,7833,0.921875
1495646759.6234603,7991,0.8984375
1495646765.5368826,8066,0.9609375
1495646774.2911375,8180,0.9296875
1495646777.5592961,8221,0.9609375
1495646788.6262758,8363,0.9453125
1495646789.0036058,8368,0.9609375
1495646789.6859472,8377,0.9609375
1495646798.9297898,8498,0.9609375
1495646799.8737857,8508,0.9765625
1495646807.099945,8601,0.953125
1495646809.6128728,8635,0.9296875
1495646828.839428,8878,0.96875
1495646831.0293322,8907,0.9140625
1495646832.6316972,8928,0.9609375
1495646833.1624508,8935,0.9296875
1495646837.6602345,8993,0.9609375
1495646858.4710975,9260,0.9453125
1495646862.6211848,9316,0.9375
1495646865.1134288,9348,0.9765625
1495646871.7747402,9435,0.921875
1495646874.3523786,9468,0.984375
1495646881.1471102,9554,0.953125
1495646882.1336894,9567,0.9375
1495646889.0864441,9657,0.9453125
1495646890.8502626,9680,0.9765625
1495646892.3599298,9698,0.96875
1495646904.0335484,9843,0.9765625
1495646908.8184476,9907,0.953125
1495646922.6158125,10084,0.96875
1495646939.055893,10276,0.96875
1495646939.597583,10283,0.953125
1495646950.448221,10399,0.9453125
1495646959.1218245,10479,0.96875
1495646964.0492678,10522,0.96875
1495646970.9788039,10607,0.9375
1495646973.5101204,10638,0.9609375
1495646974.6741703,10654,0.9453125
1495646979.2945614,10711,0.9765625
1495646983.6468074,10757,0.96875
1495646983.7811499,10758,0.9609375
1495646986.392513,10780,0.96875
1495646991.005593,10841,0.9609375
1495646991.6606119,10850,0.9296875
1495646995.33265,10902,0.953125
1495646995.5401173,10905,0.96875
1495646998.3976653,10943,0.953125
1495647000.047759,10966,0.984375
1495647000.6265078,10974,0.953125
1495647004.0981348,11020,0.96875
1495647010.009584,11102,0.9765625
1495647011.377151,11121,0.96875
1495647017.6878839,11198,0.9453125
1495647038.935568,11419,0.96875
1495647043.238731,11472,0.9765625
1495647044.950306,11492,0.953125
1495647048.1316833,11523,0.984375
1495647048.9897716,11532,0.96875
1495647052.408018,11566,0.9765625
1495647059.6349747,11648,0.984375
1495647062.776792,11685,0.953125
1495647068.5381749,11759,0.953125
1495647078.9099734,11873,0.9765625
1495647087.2588503,11969,0.9609375
1495647087.6261976,11974,0.9765625
1495647090.8162975,12010,0.9296875
1495647102.5524771,12138,0.96875
1495647105.0041804,12164,0.96875
1495647106.7172093,12184,0.9453125
1495647116.026657,12290,0.9765625
1495647125.4130485,12405,0.9375
1495647129.8165834,12458,0.9921875
1495647155.0922558,12671,0.9765625
1495647180.7653415,12877,0.953125
1495647186.3028824,12939,0.96875
1495647192.1606405,13017,0.96875
1495647193.3516428,13034,0.96875
1495647195.6547077,13061,0.9921875
1495647197.535462,13082,0.984375
1495647198.4363453,13094,0.953125
1495647199.5088546,13109,0.9765625
1495647209.0394137,13239,0.96875
1495647222.342419,13402,0.9765625
1495647222.6711855,13406,0.953125
1495647230.8130515,13504,0.953125
1495647234.391024,13546,0.9609375
1495647238.4922428,13597,0.96875
1495647240.371714,13620,0.9453125
1495647245.3856053,13679,0.9765625
1495647256.2982743,13810,0.953125
1495647262.2335117,13884,0.9453125
1495647279.1842792,14080,0.96875
1495647291.1027777,14221,0.984375
1495647296.9810243,14287,0.96875
1495647297.553458,14294,0.9921875
1495647299.920526,14320,0.9765625
1495647301.4841275,14338,0.9765625
1495647306.30366,14397,0.9765625
1495647310.4877753,14447,0.9609375
1495647326.5957546,14632,0.984375
1495647327.1995134,14638,0.96875
1495647331.9509392,14668,0.953125
1495647332.6637247,14677,0.9765625
1495647333.6300962,14687,0.9609375
1495647342.4047627,14779,0.9765625
1495647343.2544105,14788,0.96875
1495647345.28373,14809,0.9765625
1495647350.6830213,14873,0.953125
1495647352.3116598,14892,0.9453125
1495647370.6427581,15090,0.9765625
1495647377.5534782,15180,0.96875
1495647385.0811172,15266,0.984375
1495647389.318839,15324,1.0
1495647400.545467,15473,0.9765625
1495647400.7028148,15475,0.9765625
1495647402.999597,15507,0.96875
1495647405.258383,15538,0.9921875
1495647420.1095495,15740,0.953125
1495647421.8648481,15764,0.96875
1495647426.5992308,15828,0.96875
1495647438.7720492,15993,0.96875
1495647446.2600296,16095,0.9609375
1495647447.870677,16116,0.984375
1495647457.655858,16249,0.953125
1495647463.9974709,16321,0.9921875
1495647466.2506971,16343,0.984375
1495647467.53343,16360,0.9609375
1495647472.7884974,16406,0.96875
1495647481.0079074,16505,0.9453125
1495647497.0557804,16697,0.96875
1495647506.5119662,16809,0.96875
1495647510.1874692,16857,0.9921875
1495647513.98336,16899,0.984375
1495647527.472079,17066,0.96875
1495647529.8834574,17097,0.9609375
1495647539.9685078,17239,0.9765625
1495647542.3680391,17272,0.96875
1495647543.7378595,17292,1.0
1495647545.6012013,17317,0.984375
1495647547.135596,17339,0.984375
1495647554.5850608,17444,0.96875
1495647561.7774925,17543,1.0
1495647562.7826297,17557,0.96875
1495647564.7877991,17586,0.9765625
1495647565.3370993,17594,0.9921875
1495647567.4304116,17623,0.984375
1495647574.773201,17722,1.0
1495647591.3931377,17953,0.9609375
1495647593.3479397,17981,0.984375
1495647595.9040124,18018,0.9609375
1495647599.3740754,18065,0.96875
1495647613.7163234,18264,0.984375
1495647617.582647,18318,1.0
1495647627.2260766,18451,1.0
1495647627.2930841,18452,0.96875
1495647638.1238897,18592,0.9609375
1495647647.2797232,18720,0.9921875
1495647656.2130346,18845,0.96875
1495647664.2995858,18958,0.9765625
1495647670.7677138,19048,0.96875
1495647675.5395753,19116,0.984375
1495647679.361807,19169,0.9453125
1495647686.5787864,19271,0.9765625
1495647704.7021596,19525,0.96875
1495647705.1287453,19531,0.984375
1495647712.9285238,19640,0.9765625
1495647713.8920834,19654,0.9765625
1495647719.3479958,19731,0.9921875
1495647719.7700155,19737,0.9921875
1495647727.639927,19846,0.9765625
1495647734.172037,19938,0.9921875
1495647736.7305832,19971,0.9765625
1495647738.4010897,19995,0.9609375
1495647741.330635,20035,0.9453125
1495647742.5830905,20053,0.9921875
1495647742.993621,20059,0.984375
1495647743.196058,20062,0.9921875
1495647748.618669,20138,0.9921875
1495647748.6842508,20139,0.984375
1495647752.0646033,20186,0.984375
1495647754.2062895,20217,0.9296875
1495647756.0863085,20244,0.984375
1495647756.2826645,20247,0.984375
1495647756.624937,20252,0.9921875
1495647761.7825043,20323,0.984375
1495647766.0871327,20383,0.984375
1495647770.2061625,20440,0.9609375
1495647773.3516545,20485,0.9609375
1495647776.375398,20526,0.9921875
1495647777.274499,20539,0.953125
1495647777.3427992,20540,0.9453125
1495647778.8730025,20562,0.96875
1495647779.9959116,20578,0.9921875
1495647789.5967147,20710,0.9765625
1495647794.6256833,20779,0.9765625
1495647794.8411732,20782,1.0
1495647794.9217653,20783,0.9921875
1495647798.4615655,20831,0.9921875
1495647800.1708152,20855,0.984375
1495647819.2611976,21080,0.984375
1495647824.5747318,21144,0.984375
1495647831.181774,21209,0.9609375
1495647833.100463,21232,0.9609375
1495647840.638915,21316,0.9765625
1495647840.8721366,21319,0.9921875
1495647841.714359,21324,1.0
1495647847.294,21391,0.984375
1495647848.6361842,21409,0.9921875
1495659215.1415522,55,0.078125
1495659221.6237755,94,0.1328125
1495659249.2868497,252,0.0703125
1495659256.56974,295,0.09375
1495659268.2107317,366,0.1171875
1495659272.6131551,392,0.0859375
1495659276.0358157,413,0.1171875
1495659277.1509418,419,0.0859375
1495659304.252797,577,0.1171875
1495659345.226694,816,0.078125
